id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30501115,DC Master Bedroom,9315090,Ernesto,,"Georgetown, Burleith/Hillandale",38.91413,-77.06732,Private room,100,1,63,3/28/2021,2.6,3,31
30510623,Best Capitol Hill Bunks & breakfast,146624030,Sireenat,,"Capitol Hill, Lincoln Park",38.87743,-76.98935,Hotel room,29,1,6,7/25/2020,0.31,42,365
30512163,"Perfect for business in DC!  5 star, 3 level home",77230802,Alex,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91487,-77.02407,Entire home/apt,450,4,7,3/13/2020,0.25,2,22
30531090,"Airy, light filled loft apartment in Dupont",56854190,Kavya,,"Dupont Circle, Connecticut Avenue/K Street",38.91387,-77.04173,Private room,50,30,0,,,1,0
30533302,Perfect summer home for a family visiting DC,35575496,Sam,,"North Cleveland Park, Forest Hills, Van Ness",38.94771,-77.06159,Entire home/apt,150,14,1,8/23/2019,0.05,1,0
30555599,Completely Updated Cap Hill House/Block to Metro,135373553,Amanda,,"Capitol Hill, Lincoln Park",38.8795,-76.98684,Entire home/apt,315,2,26,2/23/2020,0.93,1,2
30557727,Best Capitol Hill Bunks & breakfast 1-1,146624030,Sireenat,,"Capitol Hill, Lincoln Park",38.87729,-76.9879,Shared room,29,1,2,2/29/2020,0.1,42,365
30561986,Best Capitol Hill Bunks & breakfast 1-2,146624030,Sireenat,,"Capitol Hill, Lincoln Park",38.87892,-76.9894,Shared room,25,1,19,1/11/2021,0.76,42,365
30562248,Best Capitol Hill Bunks & breakfast 1-3,146624030,Sireenat,,"Capitol Hill, Lincoln Park",38.8794,-76.98919,Shared room,29,1,4,10/24/2019,0.16,42,365
30592701,Great English basement in Capitol Hill,2160882,Matthew,,"Capitol Hill, Lincoln Park",38.88699,-76.99078,Entire home/apt,101,2,46,8/30/2020,1.68,1,0
30592817,NEW Lively and Cool DC Condo (Pennsylvania Ave),134881132,Naomi,,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86403,-76.94833,Entire home/apt,330,2,4,2/18/2019,0.14,2,365
30593929,D.C. Comfort w/ High Ceilings and Private Parking,153680299,Ashish,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9186,-77.00159,Entire home/apt,150,1,137,4/18/2021,4.78,1,2
30711356,Beautiful spacious and charming townhouse,4642600,Gaia,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93266,-77.02012,Entire home/apt,119,4,11,1/29/2021,0.39,1,7
30739175,"Heart of dtown NW, DC house w/parkng.14th & U st",20285809,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91024,-77.01436,Entire home/apt,108,2,60,4/1/2021,2.63,2,185
30739818,"𓃡Pets𓃠Welcome★DupontCircle★48""RokuTV★WalkScore97",487806,Stay BnB DC,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91315,-77.04798,Entire home/apt,138,30,118,1/7/2021,4.23,31,67
30740961,"𓃡Pets𓃠Welcome★DupontCircle★48""RokuTV★WalkScore98",487806,Stay BnB DC,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91346,-77.04798,Entire home/apt,132,30,96,1/7/2021,3.44,31,68
